teamname,result,date,opponent,attendence
Kronos United,2-3,16/05/2011,Dedfield United,2829
Brentwich United,0-1,16/05/2011,Westwall United,2593
Warbury Warriors,0-1,16/05/2011,Neasden United F.C.,1909
Benidorm Thursday,2-3,16/05/2011,Hounslow Harriers,2119
Weatherfield County,2-3,16/05/2011,Tolcaster F.C.,1675
AFC Praxis,1-2,16/05/2011,Chulak Albion,2864
F.C. Mordor,2-3,16/05/2011,Fulchester United,1839
Walford Town,3-0,16/05/2011,Earls Park F.C.,2882
Abydos F.C.,1-0,16/05/2011,Heroes F.C.,2840
Swift Boys,3-2,16/05/2011,Glipton Grasshoppers,3064
Harchester United F.C.,0-1,16/05/2011,Red Park City,2556
FC Plonka,3-2,16/05/2011,Melchester Rovers,2416
Fulchester United,1-2,30/05/2011,Millham Rovers,6095
Chulak Albion,3-0,30/05/2011,Wood Green,5605
Dedfield United,0-1,30/05/2011,Hounslow Harriers,6346
Ashton Athletic,2-3,30/05/2011,Neasden United F.C.,4947
Red Park City,0-3,30/05/2011,Abydos F.C.,4543
Barnstoneworth United,0-2,30/05/2011,FC Plonka,5483
Westwall United,2-1,30/05/2011,Walford Town,6205
Swift Boys,0-1,30/05/2011,Tolcaster F.C.,6993
Chulak Albion,1-2,13/06/2011,Millham Rovers,8172
Neasden United F.C.,0-1,13/06/2011,Westwall United,10205
Hounslow Harriers,0-3,13/06/2011,Abydos F.C.,9501
FC Plonka,1-0,13/06/2011,Tolcaster F.C.,8215
Abydos F.C.,2-0,27/06/2011,FC Plonka,11826
Westwall United,3-0,27/06/2011,Millham Rovers,11255
Westwall United,2-3,11/07/2011,Abydos F.C.,8154
Ashton Athletic,3-2,08/01/2011,Hounslow Harriers,10905
Barnstoneworth United,1-3,08/01/2011,Heroes F.C.,9911
Wood Green,3-0,08/01/2011,Harchester United F.C.,10709
Millham Rovers,2-2,08/01/2011,Glipton Grasshoppers,10756
Brentwich United,0-3,08/01/2011,Fulchester United,9074
Benidorm Thursday,2-3,08/01/2011,F.C. Mordor,11912
Dedfield United,1-1,08/01/2011,Earls Park F.C.,10716
Hounslow Harriers,3-0,15/01/2011,Earls Park F.C.,7166
F.C. Mordor,3-2,15/01/2011,Dedfield United,7728
Fulchester United,3-3,15/01/2011,Benidorm Thursday,10110
Glipton Grasshoppers,2-3,15/01/2011,Brentwich United,9739
Harchester United F.C.,1-0,15/01/2011,Millham Rovers,10744
Heroes F.C.,0-0,15/01/2011,Wood Green,8655
Ashton Athletic,1-2,15/01/2011,Barnstoneworth United,11787
Barnstoneworth United,1-1,22/01/2011,Hounslow Harriers,7593
Wood Green,2-3,22/01/2011,Ashton Athletic,10093
Millham Rovers,0-0,22/01/2011,Heroes F.C.,11410
Brentwich United,2-1,22/01/2011,Harchester United F.C.,7754
Benidorm Thursday,1-2,22/01/2011,Glipton Grasshoppers,10913
Dedfield United,3-1,22/01/2011,Fulchester United,6858
Earls Park F.C.,0-0,22/01/2011,F.C. Mordor,7124
Hounslow Harriers,2-3,29/01/2011,F.C. Mordor,6737
Fulchester United,3-1,29/01/2011,Earls Park F.C.,7802
Glipton Grasshoppers,3-0,29/01/2011,Dedfield United,9281
Harchester United F.C.,3-1,29/01/2011,Benidorm Thursday,7258
Heroes F.C.,2-0,29/01/2011,Brentwich United,7004
Ashton Athletic,3-0,29/01/2011,Millham Rovers,7824
Barnstoneworth United,3-0,29/01/2011,Wood Green,7365
Wood Green,0-3,05/02/2011,Hounslow Harriers,9909
Millham Rovers,0-0,05/02/2011,Barnstoneworth United,9004
Brentwich United,0-1,05/02/2011,Ashton Athletic,9544
Benidorm Thursday,0-3,05/02/2011,Heroes F.C.,11601
Dedfield United,0-2,05/02/2011,Harchester United F.C.,6189
Earls Park F.C.,3-3,05/02/2011,Glipton Grasshoppers,11731
F.C. Mordor,1-2,05/02/2011,Fulchester United,10746
Hounslow Harriers,1-1,12/02/2011,Fulchester United,8190
Glipton Grasshoppers,1-2,12/02/2011,F.C. Mordor,9295
Harchester United F.C.,1-0,12/02/2011,Earls Park F.C.,6631
Heroes F.C.,3-2,12/02/2011,Dedfield United,11042
Ashton Athletic,0-0,12/02/2011,Benidorm Thursday,6258
Barnstoneworth United,0-3,12/02/2011,Brentwich United,7086
Wood Green,1-2,12/02/2011,Millham Rovers,9748
Millham Rovers,1-2,19/02/2011,Hounslow Harriers,7892
Brentwich United,0-2,19/02/2011,Wood Green,8353
Benidorm Thursday,2-0,19/02/2011,Barnstoneworth United,10610
Dedfield United,2-1,19/02/2011,Ashton Athletic,7308
Earls Park F.C.,1-0,19/02/2011,Heroes F.C.,9681
F.C. Mordor,1-3,19/02/2011,Harchester United F.C.,6939
Fulchester United,0-0,19/02/2011,Glipton Grasshoppers,7127
Hounslow Harriers,0-0,26/02/2011,Glipton Grasshoppers,7984
Harchester United F.C.,3-2,26/02/2011,Fulchester United,9305
Heroes F.C.,2-3,26/02/2011,F.C. Mordor,7061
Ashton Athletic,3-2,26/02/2011,Earls Park F.C.,11362
Barnstoneworth United,1-2,26/02/2011,Dedfield United,7846
Wood Green,0-3,26/02/2011,Benidorm Thursday,8597
Millham Rovers,0-3,26/02/2011,Brentwich United,7480
Brentwich United,0-0,05/03/2011,Hounslow Harriers,9511
